title,author,isbn13,publisher,description,amazon_product_url,nyt_rank,nyt_rank_last_week,weeks_on_list,price,primary_isbn10,category,extraction_date,goodreads_rating,goodreads_rating_count,goodreads_url
"GRUMPY MONKEY OH, NO! CHRISTMAS",Suzanne Lang.,9780593306093,Random House,Jim Panzee tries to get into the Christmas spirit. (Ages 3 to 7),https://www.amazon.com/dp/0593306090?tag=thenewyorktim-20,8,0,7,0.00,0593306090,picture-books,2024-11-19,3.92,475.0,https://www.goodreads.com/book/isbn/9780593306093
HOW TO CATCH SANTA CLAUS,Alice Walstead.,9781728274270,Sourcebooks Wonderland,The How to Catch Kids attempt to snare Santa Claus. (Ages 4 to 10),https://www.amazon.com/dp/1728274273?tag=thenewyorktim-20,9,0,8,0.00,1728274273,picture-books,2024-11-19,3.93,197.0,https://www.goodreads.com/book/isbn/9781728274270
THE SNOW THIEF,Alice Hemming.,9781464226786,Sourcebooks Jabberwocky,Squirrel experiences his first snowfall. (Ages 4 to 8),https://www.amazon.com/dp/1464226784?tag=thenewyorktim-20,10,0,1,0.00,1464226784,picture-books,2024-11-19,4.16,195.0,https://www.goodreads.com/book/isbn/9781464226786
DIARY OF A WIMPY KID,and   Jeff Kinney,9781419766954,Amulet,The travails and challenges of adolescence. (Ages 9 to 12),http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=thenewyorktim-20,1,1,817,0.00,1419766953,series-books,2024-11-19,4.46,1839.0,https://www.goodreads.com/book/isbn/9781419766954
THE WILD ROBOT,Peter Brown,9780316382007,"Little, Brown","Roz the robot adapts to her surroundings on a remote, wild island. (Ages 7 to 12)",https://www.amazon.com/dp/0316669415?tag=thenewyorktim-20,2,2,42,0.00,0316382000,series-books,2024-11-19,4.17,78758.0,https://www.goodreads.com/book/isbn/9780316382007
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,9781368107631,Disney-Hyperion,A boy battles mythological monsters. (Ages 9 to 12),http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,3,3,750,0.00,136810763X,series-books,2024-11-19,4.25,18062.0,https://www.goodreads.com/book/isbn/9781368107631
HARRY POTTER,J.K. Rowling,9781338878929,Scholastic,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,4,4,816,0.00,1338878921,series-books,2024-11-19,4.47,10495185.0,https://www.goodreads.com/book/isbn/9781338878929
SHATTER ME,Tahereh Mafi,9780063419407,HarperCollins,"In a crumbling dystopian world, dark forces want to use Juliette’s superhuman powers. (Ages 14 and up)",http://www.amazon.com/Ignite-Me-Shatter-Tahereh-Mafi-ebook/dp/B00DB2YN0C?tag=thenewyorktim-20,5,0,8,0.00,0063419408,series-books,2024-11-19,3.85,1002979.0,https://www.goodreads.com/book/isbn/9780063419407
THE POWERLESS TRILOGY,Lauren Roberts,9781665954884,Simon & Schuster,"A story of forbidden love between Paedyn, an Ordinary, and Kai, an Elite, in the kingdom of Ilya. (Ages 14 and up)",https://www.amazon.com/dp/1665955430?tag=thenewyorktim-20,6,6,19,0.00,1665954884,series-books,2024-11-19,4.2,462668.0,https://www.goodreads.com/book/isbn/9781665954884
CARAVAL,Stephanie Garber,9781250095268,Flatiron,Scarlett must find her sister Tella before the five nights of Caraval are over or lose her forever. (Ages 13 to 17),https://www.amazon.com/Finale-Caraval-Novel-Stephanie-Garber/dp/1250157668?tag=thenewyorktim-20,7,5,11,0.00,1250095263,series-books,2024-11-19,3.98,638801.0,https://www.goodreads.com/book/isbn/9781250095268
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,9780593754221,Penguin Workshop,Biographies unlock legendary lives. (Ages 8 to 11),http://www.amazon.com/Who-Was-Mother-Teresa-Gigliotti/dp/0448482991?tag=thenewyorktim-20,8,0,172,0.00,0593754220,series-books,2024-11-19,4.39,850.0,https://www.goodreads.com/book/isbn/9780593754221
THE HUNGER GAMES,Suzanne Collins,9780439023528,Scholastic,"In a dystopia, a girl fights for survival on live TV. (Ages 12 and up)",http://www.amazon.com/Mockingjay-Final-Book-Hunger-Games/dp/0545663261?tag=thenewyorktim-20,9,9,348,0.00,0439023521,series-books,2024-11-19,4.34,9033090.0,https://www.goodreads.com/book/isbn/9780439023528
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,9781984896391,Delacorte,Pippa Fitz-Amobi solves murderous crimes. (Ages 14 and up),https://www.amazon.com/dp/0593379853?tag=thenewyorktim-20,10,7,163,0.00,1984896393,series-books,2024-11-19,4.31,1363475.0,https://www.goodreads.com/book/isbn/9781984896391
